Unnamed: 0,call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,actual_churn,churn_probability,risk_segment,retention_priority,recommended_action
70,10,0,39,2,11525,157,16,49,4,2,1,45,332.05,0,9.053152e-05,Low,Routine,Maintain standard customer engagement
72,26,1,35,1,1015,50,21,19,3,1,1,30,126.6,1,0.9998332,Critical,Immediate,Escalate for immediate retention intervention
74,16,0,38,2,5878,101,31,26,2,1,1,25,408.555,0,0.550602,High,High,Initiate targeted retention outreach
78,3,0,38,1,193,5,5,4,3,1,1,30,27.92,1,0.06339519,Low,Routine,Maintain standard customer engagement
86,6,0,37,1,1725,47,43,22,3,1,1,30,242.88,0,0.00057526573,Low,Routine,Maintain standard customer engagement
87,9,0,38,1,2840,56,180,25,2,1,1,25,940.32,0,0.0003254017,Low,Routine,Maintain standard customer engagement
94,5,0,20,1,1755,29,33,16,2,1,1,25,228.78,0,4.3881548e-05,Low,Routine,Maintain standard customer engagement
108,4,0,36,0,13713,166,0,42,3,1,1,30,555.16,0,3.156437e-05,Low,Routine,Maintain standard customer engagement
110,3,0,36,0,5858,92,2,10,2,1,1,25,276.75,0,0.0071147326,Low,Routine,Maintain standard customer engagement
113,1,0,36,0,3035,24,478,6,3,1,1,30,2034.36,0,0.00012460083,Low,Routine,Maintain standard customer engagement
115,0,0,35,0,6440,83,181,24,3,1,1,30,984.92,0,2.0655249e-05,Low,Routine,Maintain standard customer engagement
119,0,0,35,0,7448,124,379,41,2,1,1,25,2046.24,0,5.6090103e-05,Low,Routine,Maintain standard customer engagement
121,5,0,35,0,6658,72,103,35,2,1,1,25,766.35,0,0.0004280358,Low,Routine,Maintain standard customer engagement
122,20,0,31,0,895,44,11,15,2,1,2,25,91.755,1,0.99214435,Critical,Immediate,Escalate for immediate retention intervention
128,0,1,34,0,0,0,0,0,3,1,2,30,0.0,1,0.9999498,Critical,Immediate,Escalate for immediate retention intervention
132,0,0,34,0,0,0,0,0,5,1,1,55,0.0,0,0.002707783,Low,Routine,Maintain standard customer engagement
135,0,0,34,0,3658,79,0,26,2,1,1,25,168.165,0,4.2745596e-05,Low,Routine,Maintain standard customer engagement
136,0,0,33,0,1605,41,33,18,3,1,2,30,197.84,0,0.0012293543,Low,Routine,Maintain standard customer engagement
138,1,0,25,0,1255,33,188,9,2,2,1,25,903.96,0,9.949638e-07,Low,Routine,Maintain standard customer engagement
143,0,0,23,0,3165,58,3,21,3,1,1,30,140.92,0,3.917361e-06,Low,Routine,Maintain standard customer engagement
148,0,0,7,0,4330,37,210,8,3,1,1,30,1014.68,0,0.00032770456,Low,Routine,Maintain standard customer engagement
149,0,0,7,0,1428,16,0,5,3,1,1,30,57.76,1,0.9989274,Critical,Immediate,Escalate for immediate retention intervention
153,11,0,42,1,4278,68,11,39,1,1,1,15,299.53,0,5.497571e-05,Low,Routine,Maintain standard customer engagement
163,5,0,42,2,3175,29,493,12,3,1,1,30,2100.16,0,6.3713082e-06,Low,Routine,Maintain standard customer engagement
173,22,1,40,9,10515,95,11,46,5,1,1,55,175.65,0,0.0030074911,Low,Routine,Maintain standard customer engagement
175,2,0,38,1,2920,24,10,18,3,1,1,30,157.76,0,0.00033730472,Low,Routine,Maintain standard customer engagement
176,10,0,39,0,3070,43,19,20,3,1,2,30,200.52,1,0.9882442,Critical,Immediate,Escalate for immediate retention intervention
181,1,1,40,0,708,9,19,8,4,1,2,45,65.425,1,0.9998807,Critical,Immediate,Escalate for immediate retention intervention
185,3,0,40,1,3798,84,12,32,3,1,1,30,203.28,0,2.6512529e-05,Low,Routine,Maintain standard customer engagement
189,5,0,30,1,1648,41,40,72,4,1,1,45,142.225,0,0.0009586315,Low,Routine,Maintain standard customer engagement
195,17,0,21,2,6473,143,95,46,2,2,1,25,725.22,0,0.00022529044,Low,Routine,Maintain standard customer engagement
197,9,0,20,4,2933,47,41,23,3,1,1,30,283.2,0,0.00017748297,Low,Routine,Maintain standard customer engagement
199,4,0,13,2,1568,21,10,11,3,1,1,30,103.56,1,0.93802905,Critical,Immediate,Escalate for immediate retention intervention
202,9,0,33,0,2373,58,349,20,2,1,1,25,1679.895,0,0.0001697152,Low,Routine,Maintain standard customer engagement
211,8,0,34,0,2158,52,0,13,3,1,2,30,88.4,0,0.0038207667,Low,Routine,Maintain standard customer engagement
212,24,0,34,2,15060,223,44,28,3,1,1,30,787.32,0,0.00017104199,Low,Routine,Maintain standard customer engagement
218,0,0,33,0,0,0,0,0,2,1,2,25,0.0,1,0.91249186,Critical,Immediate,Escalate for immediate retention intervention
221,7,0,33,0,6638,73,98,33,2,1,1,25,742.995,0,0.000979361,Low,Routine,Maintain standard customer engagement
225,0,0,30,0,2760,20,0,10,3,1,1,30,111.2,0,0.00049864734,Low,Routine,Maintain standard customer engagement
237,5,0,32,0,2700,51,165,19,2,1,1,25,866.295,0,0.00011561896,Low,Routine,Maintain standard customer engagement
245,15,0,13,0,6313,139,75,38,1,2,1,15,767.36,0,0.00011941932,Low,Routine,Maintain standard customer engagement
250,13,0,44,1,4630,81,20,23,3,1,1,30,268.44,0,7.636018e-05,Low,Routine,Maintain standard customer engagement
251,5,0,45,0,578,15,22,10,3,1,2,30,111.72,0,0.034166154,Low,Routine,Maintain standard customer engagement
252,15,0,43,1,2713,70,374,30,3,1,1,30,1607.32,0,0.00015967789,Low,Routine,Maintain standard customer engagement
258,12,0,44,1,14033,179,15,50,3,1,1,30,628.48,0,5.817587e-05,Low,Routine,Maintain standard customer engagement
263,9,0,44,2,3355,37,498,14,3,1,1,30,2127.68,0,5.6715315e-05,Low,Routine,Maintain standard customer engagement
265,8,0,43,2,6760,96,201,32,3,1,1,30,1078.24,0,0.00013014583,Low,Routine,Maintain standard customer engagement
268,5,0,43,0,260,10,15,6,2,1,2,25,79.65,1,0.45546398,Medium,Monitor,Send proactive engagement and satisfaction check
278,5,0,42,0,393,12,15,8,3,1,2,30,76.2,1,0.39831138,Medium,Monitor,Send proactive engagement and satisfaction check
297,13,0,22,4,3113,55,46,25,3,1,1,30,310.72,0,8.9769084e-05,Low,Routine,Maintain standard customer engagement
298,7,0,15,2,4650,50,230,16,3,1,1,30,1108.0,0,4.7436013e-05,Low,Routine,Maintain standard customer engagement
299,8,1,15,2,1748,29,15,13,3,1,1,30,131.08,1,0.9997348,Critical,Immediate,Escalate for immediate retention intervention
301,0,0,33,0,0,0,0,0,2,1,2,25,0.0,0,0.91249186,Critical,Immediate,Escalate for immediate retention intervention
307,8,0,31,1,8855,111,129,37,3,1,1,30,874.64,0,7.224049e-05,Low,Routine,Maintain standard customer engagement
310,1,0,32,0,5658,85,0,6,2,1,1,25,258.435,0,0.020420387,Low,Routine,Maintain standard customer engagement
312,20,0,32,2,14880,215,39,26,3,1,1,30,759.8,0,0.00010576821,Low,Routine,Maintain standard customer engagement
314,4,0,31,0,15225,172,135,24,2,1,1,25,1300.365,0,0.00024091238,Low,Routine,Maintain standard customer engagement
320,2,0,31,0,11205,144,0,41,3,1,1,30,453.96,0,2.8602128e-05,Low,Routine,Maintain standard customer engagement
323,16,0,30,7,10175,83,0,36,4,1,1,45,256.45,0,0.00016535577,Low,Routine,Maintain standard customer engagement
325,0,0,28,0,2580,12,0,8,3,1,1,30,103.68,0,0.00012383483,Low,Routine,Maintain standard customer engagement
326,4,0,29,0,2730,31,0,10,2,1,2,25,124.245,1,0.97598934,Critical,Immediate,Escalate for immediate retention intervention
334,1,0,28,2,6705,106,256,27,2,2,1,25,1458.495,0,5.866775e-05,Low,Routine,Maintain standard customer engagement
341,0,0,20,0,0,0,6,0,4,1,2,45,15.0,0,0.012314235,Low,Routine,Maintain standard customer engagement
343,0,0,19,0,2965,51,0,17,3,1,1,30,120.64,0,1.5371073e-05,Low,Routine,Maintain standard customer engagement
347,3,0,10,2,2593,35,16,13,3,1,1,30,169.12,0,0.104311205,Medium,Monitor,Send proactive engagement and satisfaction check
358,9,0,41,0,13953,177,11,49,3,1,1,30,609.2,0,6.857199e-05,Low,Routine,Maintain standard customer engagement
360,8,0,41,0,6098,103,18,17,3,1,1,30,320.04,0,5.303708e-05,Low,Routine,Maintain standard customer engagement
362,27,0,41,3,15320,233,65,37,3,1,1,30,882.12,0,0.00010125673,Low,Routine,Maintain standard customer engagement
365,5,0,40,1,6680,94,197,31,3,1,1,30,1058.96,0,4.2332107e-05,Low,Routine,Maintain standard customer engagement
370,9,0,40,1,11645,162,22,52,4,1,1,45,350.175,0,0.00012431352,Low,Routine,Maintain standard customer engagement
371,10,0,40,1,6898,83,119,42,2,1,1,25,849.645,0,0.0018448813,Low,Routine,Maintain standard customer engagement
374,15,0,39,1,5998,106,37,29,2,1,1,25,441.18,0,0.12422147,Medium,Monitor,Send proactive engagement and satisfaction check
375,3,0,37,0,3020,30,11,19,3,1,1,30,166.0,0,0.0037906617,Low,Routine,Maintain standard customer engagement
376,11,1,38,0,3170,49,20,21,3,1,2,30,208.76,1,0.9976799,Critical,Immediate,Escalate for immediate retention intervention
377,11,1,39,0,2448,52,45,36,3,1,2,30,280.0,1,0.9936154,Critical,Immediate,Escalate for immediate retention intervention
378,2,1,39,0,313,10,11,7,3,1,2,30,56.92,1,0.9995597,Critical,Immediate,Escalate for immediate retention intervention
385,4,0,39,0,3898,90,13,33,2,1,1,25,237.96,0,0.0022560572,Low,Routine,Maintain standard customer engagement
386,5,0,38,0,1845,52,49,25,3,1,2,30,271.88,0,0.007215757,Low,Routine,Maintain standard customer engagement
388,6,1,30,1,1495,44,204,16,2,2,1,25,987.255,1,0.981062,Critical,Immediate,Escalate for immediate retention intervention
391,2,0,29,0,1005,18,32,8,4,1,2,45,105.575,0,0.002534928,Low,Routine,Maintain standard customer engagement
398,4,0,12,1,4570,48,226,15,3,1,1,30,1088.72,0,0.00013490669,Low,Routine,Maintain standard customer engagement
399,5,0,12,1,1668,27,11,12,3,1,1,30,111.8,1,0.86039925,High,High,Initiate targeted retention outreach
405,9,0,35,1,3595,74,21,23,3,1,1,30,230.76,0,0.00039452204,Low,Routine,Maintain standard customer engagement
420,5,0,34,1,11285,146,0,42,4,1,1,45,285.775,0,8.477991e-05,Low,Routine,Maintain standard customer engagement
421,6,0,34,1,6538,67,97,32,2,1,1,25,733.725,0,0.0004492662,Low,Routine,Maintain standard customer engagement
427,7,1,33,0,2088,36,23,26,3,1,2,30,176.96,1,0.99980253,Critical,Immediate,Escalate for immediate retention intervention
429,0,0,33,0,1488,17,0,1,3,1,1,30,60.2,0,0.0019250133,Low,Routine,Maintain standard customer engagement
444,0,0,15,0,1515,18,17,9,2,1,1,25,145.485,0,0.00061441486,Low,Routine,Maintain standard customer engagement
445,14,0,14,1,6213,133,74,37,2,2,1,25,618.57,0,0.00034010963,Low,Routine,Maintain standard customer engagement
448,0,0,6,1,4210,32,204,5,3,1,1,30,985.68,0,0.0004194557,Low,Routine,Maintain standard customer engagement
452,14,0,37,2,3053,70,380,39,3,1,1,30,1644.92,0,0.00023104383,Low,Routine,Maintain standard customer engagement
462,29,0,38,5,15740,235,75,47,3,1,1,30,939.0,0,9.739019e-05,Low,Routine,Maintain standard customer engagement
467,6,0,38,0,1310,24,34,23,3,1,2,30,189.36,0,0.28900087,Medium,Monitor,Send proactive engagement and satisfaction check
482,4,0,36,3,938,14,25,17,5,1,1,55,51.78,0,0.0053920145,Low,Routine,Maintain standard customer engagement
484,10,0,34,5,7565,126,292,48,2,2,1,25,1660.095,0,0.0003268079,Low,Routine,Maintain standard customer engagement
487,10,0,36,2,3380,63,196,38,2,1,1,25,1036.935,0,0.00052837434,Low,Routine,Maintain standard customer engagement
490,15,0,27,0,1300,35,31,22,3,1,2,30,177.4,0,0.012523367,Low,Routine,Maintain standard customer engagement
491,4,0,26,0,1425,20,42,18,4,1,2,45,141.125,0,0.0021927154,Low,Routine,Maintain standard customer engagement
493,6,0,25,2,3825,71,29,38,3,1,1,30,271.84,0,4.3373686e-05,Low,Routine,Maintain standard customer engagement
494,6,0,18,2,2295,36,49,29,2,1,1,25,325.395,0,0.0007015564,Low,Routine,Maintain standard customer engagement
495,20,0,17,3,6993,151,106,57,2,2,1,25,798.48,0,0.00022436673,Low,Routine,Maintain standard customer engagement
512,21,0,38,1,14540,215,33,17,3,1,1,30,722.2,0,0.00012037981,Low,Routine,Maintain standard customer engagement
514,5,0,37,0,14885,172,129,15,2,1,1,25,1258.065,0,0.00010388819,Low,Routine,Maintain standard customer engagement
516,0,0,37,0,275,4,0,1,2,1,2,25,12.555,0,0.057754364,Low,Routine,Maintain standard customer engagement
521,4,0,37,0,6118,65,87,22,2,1,1,25,669.735,0,0.00012698756,Low,Routine,Maintain standard customer engagement
533,21,0,31,1,15475,228,0,65,2,1,1,25,706.635,0,0.0006724688,Low,Routine,Maintain standard customer engagement
535,0,0,36,0,3118,72,0,13,2,1,1,25,143.55,0,3.071769e-05,Low,Routine,Maintain standard customer engagement
542,6,0,25,0,625,22,0,2,2,1,1,25,29.115,0,0.00029489023,Low,Routine,Maintain standard customer engagement
547,4,0,16,1,2253,35,10,4,3,1,1,30,131.52,0,0.11217297,Medium,Monitor,Send proactive engagement and satisfaction check
556,4,0,39,1,2475,45,317,22,4,1,1,45,855.5,0,2.5543703e-05,Low,Routine,Maintain standard customer engagement
559,7,0,39,2,4630,89,34,29,3,1,1,30,324.76,0,0.00017354116,Low,Routine,Maintain standard customer engagement
560,6,0,39,1,6033,101,39,16,3,1,1,30,401.36,0,0.00016608677,Low,Routine,Maintain standard customer engagement
563,4,0,39,2,3210,33,515,12,4,1,1,45,1368.575,0,2.6340178e-05,Low,Routine,Maintain standard customer engagement
568,0,0,38,0,115,6,32,4,2,1,2,25,149.445,1,0.15353015,Medium,Monitor,Send proactive engagement and satisfaction check
573,21,0,37,9,10550,99,33,46,5,1,1,55,209.235,0,0.00016476668,Low,Routine,Maintain standard customer engagement
574,13,0,37,2,5933,104,58,28,3,1,1,30,473.48,0,0.00024178244,Low,Routine,Maintain standard customer engagement
577,9,0,37,0,2383,50,66,35,4,1,2,45,225.825,1,0.9461028,Critical,Immediate,Escalate for immediate retention intervention
578,0,0,37,0,248,8,32,6,3,1,2,30,138.24,1,0.41532207,Medium,Monitor,Send proactive engagement and satisfaction check
591,0,0,27,0,940,16,53,7,4,1,2,45,156.4,0,0.0003466883,Low,Routine,Maintain standard customer engagement
595,16,0,18,2,6508,147,117,46,2,2,1,25,825.975,0,0.00022529044,Low,Routine,Maintain standard customer engagement
596,12,0,16,1,9048,177,105,44,5,1,1,55,295.875,0,0.00013700708,Low,Routine,Maintain standard customer engagement
603,10,0,37,0,4083,60,0,31,1,1,1,15,227.865,0,0.0019907458,Low,Routine,Maintain standard customer engagement
604,3,0,37,0,2278,52,0,29,1,1,1,15,128.15,0,0.00074891775,Low,Routine,Maintain standard customer engagement
612,25,0,37,2,15025,219,22,28,3,1,1,30,697.76,0,0.00017254917,Low,Routine,Maintain standard customer engagement
619,3,0,36,0,7393,121,352,39,2,1,1,25,1922.13,0,0.00017362888,Low,Routine,Maintain standard customer engagement
631,0,0,35,0,513,1,0,3,4,1,2,45,12.85,1,0.9991892,Critical,Immediate,Escalate for immediate retention intervention
643,2,0,24,0,3110,55,0,19,3,1,1,30,126.6,0,8.238884e-06,Low,Routine,Maintain standard customer engagement
647,8,0,15,2,2738,39,0,15,3,1,1,30,111.08,0,0.06441422,Low,Routine,Maintain standard customer engagement
650,10,0,38,0,4560,72,14,20,3,1,1,30,241.28,0,0.0010575806,Low,Routine,Maintain standard customer engagement
654,5,0,38,0,2583,59,11,36,1,1,1,15,205.81,0,0.00010295622,Low,Routine,Maintain standard customer engagement
655,13,0,38,1,3965,83,41,31,3,1,1,30,325.92,0,0.00092871574,Low,Routine,Maintain standard customer engagement
665,5,0,37,1,6690,87,195,29,3,1,1,30,1051.08,0,8.5540174e-05,Low,Routine,Maintain standard customer engagement
666,2,0,37,0,1065,15,9,14,2,1,2,25,89.1,0,0.006392908,Low,Routine,Maintain standard customer engagement
670,9,0,37,1,11655,155,20,50,4,1,1,45,345.25,0,0.00019538816,Low,Routine,Maintain standard customer engagement
672,25,1,33,0,1145,48,25,20,2,1,2,25,166.185,1,0.99992657,Critical,Immediate,Escalate for immediate retention intervention
679,3,0,36,0,1858,26,9,9,3,1,1,30,111.36,0,0.00068605697,Low,Routine,Maintain standard customer engagement
682,2,0,36,1,528,5,13,5,5,1,1,55,27.495,0,0.03663893,Low,Routine,Maintain standard customer engagement
686,5,0,35,0,1855,45,47,23,3,1,2,30,264.0,0,0.011520219,Low,Routine,Maintain standard customer engagement
687,8,0,36,0,2970,54,184,26,2,1,1,25,964.08,0,0.00044067114,Low,Routine,Maintain standard customer engagement
689,6,0,26,0,1758,40,39,71,4,1,1,45,142.45,0,0.0010055203,Low,Routine,Maintain standard customer engagement
696,14,0,15,0,9122,172,82,43,4,1,1,45,437.35,0,0.00028041677,Low,Routine,Maintain standard customer engagement
701,0,0,39,0,128,4,0,1,2,1,2,25,5.94,0,0.17496221,Medium,Monitor,Send proactive engagement and satisfaction check
703,8,0,38,0,4008,65,0,32,1,1,1,15,224.015,0,0.00020653843,Low,Routine,Maintain standard customer engagement
717,0,0,38,0,520,13,4,5,3,1,2,30,37.32,0,0.13555267,Medium,Monitor,Send proactive engagement and satisfaction check
723,19,0,36,8,10245,92,0,39,5,2,1,55,155.055,0,0.00014381911,Low,Routine,Maintain standard customer engagement
724,11,0,36,1,5628,97,17,21,2,1,1,25,334.125,1,0.9979868,Critical,Immediate,Escalate for immediate retention intervention
727,7,0,36,0,2078,43,25,28,3,1,2,30,184.84,1,0.9856683,Critical,Immediate,Escalate for immediate retention intervention
736,1,0,35,0,1475,43,29,17,3,1,2,30,176.72,0,0.00046515654,Low,Routine,Maintain standard customer engagement
751,0,0,34,0,318,4,0,3,2,1,2,25,14.49,0,0.012540975,Low,Routine,Maintain standard customer engagement
753,8,0,33,0,4198,60,0,34,1,1,1,15,234.19,0,0.002582736,Low,Routine,Maintain standard customer engagement
758,5,0,33,0,13773,163,0,43,3,1,1,30,557.44,0,6.727413e-05,Low,Routine,Maintain standard customer engagement
761,7,1,33,0,2238,48,0,16,3,1,2,30,91.44,0,0.9965694,Critical,Immediate,Escalate for immediate retention intervention
763,2,0,33,0,3095,21,475,7,3,1,1,30,2024.64,0,1.7891489e-05,Low,Routine,Maintain standard customer engagement
775,0,0,29,0,2840,16,0,13,3,1,1,30,114.24,0,0.00045785328,Low,Routine,Maintain standard customer engagement
787,4,0,31,0,2780,47,167,22,2,1,1,25,878.715,0,0.00014685105,Low,Routine,Maintain standard customer engagement
788,2,0,22,0,1315,30,185,10,2,2,1,25,893.025,0,1.603106e-06,Low,Routine,Maintain standard customer engagement
792,8,0,20,0,1225,26,11,12,2,1,1,25,105.795,0,0.0005372113,Low,Routine,Maintain standard customer engagement
800,10,0,43,1,4370,77,13,18,3,1,1,30,229.88,0,0.00013147987,Low,Routine,Maintain standard customer engagement
802,12,0,42,1,2453,66,367,25,3,1,1,30,1568.76,0,2.8377008e-05,Low,Routine,Maintain standard customer engagement
803,12,0,43,1,4198,72,9,36,1,1,1,15,284.35,0,6.2422085e-05,Low,Routine,Maintain standard customer engagement
804,5,0,43,1,2393,64,10,34,2,1,1,25,155.565,0,6.93948e-05,Low,Routine,Maintain standard customer engagement
807,15,0,42,3,9115,127,152,44,3,1,1,30,977.68,0,7.796421e-05,Low,Routine,Maintain standard customer engagement
811,11,1,43,0,2238,60,16,18,3,1,2,30,155.92,0,0.0026061062,Low,Routine,Maintain standard customer engagement
822,25,1,38,0,955,53,24,18,3,1,2,30,136.32,1,0.99969935,Critical,Immediate,Escalate for immediate retention intervention
830,5,0,38,2,6785,103,22,23,5,1,1,55,136.32,0,1.2712852e-05,Low,Routine,Maintain standard customer engagement
834,8,0,39,4,6965,122,279,34,3,2,1,30,1399.48,0,5.5057713e-05,Low,Routine,Maintain standard customer engagement
835,4,0,41,1,3718,88,10,29,3,1,1,30,192.24,0,1.9475618e-05,Low,Routine,Maintain standard customer engagement
839,6,0,31,1,1568,45,38,69,5,1,1,55,81.195,0,0.0015575035,Low,Routine,Maintain standard customer engagement
851,6,0,40,0,1028,16,15,4,3,1,2,30,101.76,0,0.20406437,Medium,Monitor,Send proactive engagement and satisfaction check
854,9,0,39,1,3103,69,10,33,2,1,1,25,187.74,0,0.0012608309,Low,Routine,Maintain standard customer engagement
862,31,1,39,4,15850,236,62,32,3,1,1,30,891.44,0,0.0025043457,Low,Routine,Maintain standard customer engagement
867,8,0,39,0,1420,25,21,8,3,1,2,30,141.8,0,0.002448237,Low,Routine,Maintain standard customer engagement
871,14,0,38,2,7428,86,116,37,2,1,1,25,860.13,0,0.0016278109,Low,Routine,Maintain standard customer engagement
872,29,1,34,0,1665,58,24,17,3,1,2,30,164.92,1,0.99793243,Critical,Immediate,Escalate for immediate retention intervention
873,27,0,37,9,11145,104,9,42,5,2,1,55,182.235,0,0.00012682553,Low,Routine,Maintain standard customer engagement
877,15,1,37,0,2978,55,42,31,3,1,2,30,289.32,1,0.9989648,Critical,Immediate,Escalate for immediate retention intervention
886,9,0,36,0,2375,55,46,20,3,1,2,30,281.2,0,0.0063851527,Low,Routine,Maintain standard customer engagement
889,10,0,27,1,2278,50,38,68,4,1,1,45,153.2,0,0.0033748331,Low,Routine,Maintain standard customer engagement
905,5,0,37,0,3065,71,7,28,3,1,1,30,153.44,0,0.00019305371,Low,Routine,Maintain standard customer engagement
908,1,0,37,0,13063,158,0,44,3,1,1,30,528.84,0,2.1616872e-05,Low,Routine,Maintain standard customer engagement
912,19,0,37,2,14430,214,29,32,3,1,1,30,701.76,0,0.00011613486,Low,Routine,Maintain standard customer engagement
926,3,1,34,0,2280,30,0,16,2,1,2,25,103.95,1,0.999808,Critical,Immediate,Escalate for immediate retention intervention
927,3,0,35,0,1558,33,9,31,3,1,2,30,99.64,1,0.9817438,Critical,Immediate,Escalate for immediate retention intervention
928,0,0,35,0,0,0,0,0,3,1,2,30,0.0,1,0.998923,Critical,Immediate,Escalate for immediate retention intervention
936,0,0,34,0,955,33,13,20,3,1,2,30,91.52,0,0.111924015,Medium,Monitor,Send proactive engagement and satisfaction check
938,0,0,26,0,605,25,168,11,2,2,1,25,784.35,0,6.4628193e-07,Low,Routine,Maintain standard customer engagement
939,0,0,25,0,858,28,5,68,4,1,1,45,34.65,0,7.7908844e-05,Low,Routine,Maintain standard customer engagement
941,0,0,25,0,0,0,0,0,4,1,2,45,0.0,0,0.0105829835,Low,Routine,Maintain standard customer engagement
947,2,0,15,2,2142,34,6,19,3,1,1,30,111.04,0,0.009607021,Low,Routine,Maintain standard customer engagement
948,0,0,8,0,3680,29,190,10,3,1,1,30,908.36,0,0.00020836173,Low,Routine,Maintain standard customer engagement
950,8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0,0.0003101897,Low,Routine,Maintain standard customer engagement
957,13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0,7.0661095e-05,Low,Routine,Maintain standard customer engagement
964,9,0,37,0,15485,182,150,30,2,1,1,25,1380.015,0,0.0006292609,Low,Routine,Maintain standard customer engagement
965,3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0,5.18249e-05,Low,Routine,Maintain standard customer engagement
967,2,0,38,0,710,14,13,8,3,1,2,30,80.96,0,0.21875997,Medium,Monitor,Send proactive engagement and satisfaction check
969,3,0,37,0,7508,127,384,43,2,1,1,25,2071.575,0,0.00015335198,Low,Routine,Maintain standard customer engagement
973,21,1,36,8,10435,93,1,42,5,1,1,55,159.42,0,0.003946692,Low,Routine,Maintain standard customer engagement
975,1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0,0.0009799261,Low,Routine,Maintain standard customer engagement
983,25,0,31,3,16075,238,0,80,2,1,1,25,734.085,0,0.0004924724,Low,Routine,Maintain standard customer engagement
993,2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0,1.7843691e-05,Low,Routine,Maintain standard customer engagement
996,12,0,15,0,8932,171,73,40,4,1,1,45,410.075,0,0.00018454439,Low,Routine,Maintain standard customer engagement
1000,8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0,0.0003101897,Low,Routine,Maintain standard customer engagement
1007,13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0,7.0661095e-05,Low,Routine,Maintain standard customer engagement
1014,9,0,37,0,15485,182,150,30,2,1,1,25,1380.015,0,0.0006292609,Low,Routine,Maintain standard customer engagement
1015,3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0,5.18249e-05,Low,Routine,Maintain standard customer engagement
1017,2,0,38,0,710,14,13,8,3,1,2,30,80.96,0,0.21875997,Medium,Monitor,Send proactive engagement and satisfaction check
1019,3,0,37,0,7508,127,384,43,2,1,1,25,2071.575,0,0.00015335198,Low,Routine,Maintain standard customer engagement
1025,1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0,0.0009799261,Low,Routine,Maintain standard customer engagement
1026,9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1,0.99697125,Critical,Immediate,Escalate for immediate retention intervention
1043,2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0,1.7843691e-05,Low,Routine,Maintain standard customer engagement
1046,12,0,15,0,8932,171,73,40,4,1,1,45,410.075,0,0.00018454439,Low,Routine,Maintain standard customer engagement
1050,3,0,36,0,4065,65,0,15,2,1,1,25,185.85,0,0.00020397197,Low,Routine,Maintain standard customer engagement
1062,20,0,36,2,14835,219,47,30,3,1,1,30,790.16,0,0.00021286645,Low,Routine,Maintain standard customer engagement
1064,4,0,35,0,15180,176,143,28,2,1,1,25,1334.52,0,0.00032265758,Low,Routine,Maintain standard customer engagement
1066,0,0,35,0,570,8,0,9,2,1,2,25,26.01,0,0.0021874635,Low,Routine,Maintain standard customer engagement
